Posição,Time,PTS,Estado,J,V,E,D,GP,GC,SG,CA,CV,%,Ano,Serie,Serie_Anterior,Peso
12,Brasil,49, RS,38,11,16,11,31,33,-2,98,4,42,2020,B,B,0.7
13,Guarani,48, SP,38,13,9,16,41,48,-7,100,11,42,2020,B,B,0.7
14,Vitória,48, BA,38,11,15,12,45,45,0,92,5,42,2020,B,B,0.7
15,Confiança,46, SE,38,12,10,16,38,46,-8,121,11,40,2020,B,C,0.5
16,Náutico,44, PE,38,10,14,14,35,42,-7,100,4,38,2020,B,C,0.5
17,Figueirense,39, SC,38,9,12,17,35,49,-14,96,3,34,2020,B,B,0.7
18,Paraná,37, PR,38,9,10,19,34,50,-16,109,2,32,2020,B,B,0.7
19,Botafogo,34, SP,38,8,10,20,26,39,-13,112,6,29,2020,B,A,1.0
20,Oeste,29, SP,38,7,8,23,28,60,-32,92,2,25,2020,B,B,0.7
1,Atlético Mineiro,84, MG,38,26,6,6,67,34,33,82,4,73,2021,A,A,1.0
2,Flamengo,71, RJ,38,21,8,9,69,36,33,82,4,62,2021,A,A,1.0
3,Palmeiras,66, SP,38,20,6,12,58,43,15,87,11,57,2021,A,A,1.0
4,Fortaleza,58, CE,38,17,7,14,44,45,-1,95,7,50,2021,A,A,1.0
5,Corinthians,57, SP,38,15,12,11,40,36,4,61,3,50,2021,A,A,1.0
6,Red Bull Bragantino,56, SP,38,14,14,10,55,46,9,95,3,49,2021,A,A,1.0
7,Fluminense,54, RJ,38,15,9,14,38,38,0,91,4,47,2021,A,A,1.0
8,America,53, MG,38,13,14,11,41,37,4,66,2,46,2021,A,B,0.7
9,Atlético,53, GO,38,13,14,11,33,36,-3,98,7,46,2021,A,A,1.0
10,Santos,50, SP,38,12,14,12,35,40,-5,103,4,43,2021,A,A,1.0
11,Ceará,50, CE,38,11,17,10,39,38,1,90,5,43,2021,A,A,1.0
12,Internacional,48, RS,38,12,12,14,44,42,2,106,11,42,2021,A,A,1.0
13,São Paulo,48, SP,38,11,15,12,31,39,-8,100,7,42,2021,A,A,1.0
14,Athletico Paranaense,47, PR,38,13,8,17,41,45,-4,90,6,41,2021,A,A,1.0
15,Cuiabá,47, MT,38,10,17,11,34,37,-3,84,7,41,2021,A,B,0.7
16,Juventude,46, RS,38,11,13,14,36,44,-8,93,4,40,2021,A,B,0.7
17,Grêmio,43, RS,38,12,7,19,44,51,-7,110,7,37,2021,A,A,1.0
18,Bahia,43, BA,38,11,10,17,42,51,-9,94,5,37,2021,A,A,1.0
19,Sport,38, PE,38,9,11,18,24,37,-13,94,5,33,2021,A,A,1.0
20,Chapecoense,15, SC,38,1,12,25,27,67,-40,82,10,13,2021,A,B,0.7
1,Botafogo,70, RJ,38,20,10,8,56,31,25,71,5,61,2021,B,A,1.0
2,Goiás,65, GO,38,17,14,7,48,31,17,96,4,57,2021,B,A,1.0
3,Coritiba,64, PR,38,18,10,10,49,35,14,99,3,56,2021,B,A,1.0
4,Avaí,64, SC,38,18,10,10,44,35,9,92,6,56,2021,B,B,0.7
5,Csa,62, AL,38,18,8,12,48,33,15,99,3,54,2021,B,B,0.7
6,Guarani,60, SP,38,16,12,10,54,41,13,106,12,52,2021,B,B,0.7
7,Crb,60, AL,38,16,12,10,47,39,8,84,5,52,2021,B,B,0.7
8,Náutico,53, PE,38,14,11,13,50,50,0,103,11,46,2021,B,B,0.7
9,Vila Nova,51, GO,38,12,15,11,35,36,-1,95,3,44,2021,B,C,0.5
10,Vasco da Gama,49, RJ,38,13,10,15,43,52,-9,94,9,42,2021,B,A,1.0
11,Ponte Preta,49, SP,38,12,13,13,39,40,-1,79,7,42,2021,B,B,0.7
12,Operário,48, PR,38,13,9,16,35,46,-11,93,8,42,2021,B,B,0.7
13,Brusque,48, SC,38,13,9,16,44,56,-12,90,3,42,2021,B,C,0.5
14,Cruzeiro,48, MG,38,10,18,10,42,44,-2,91,14,42,2021,B,B,0.7
15,Sampaio Corrêa,47, MA,38,12,11,15,41,42,-1,112,8,41,2021,B,C,0.5
16,Londrina,44, PR,38,11,11,16,31,41,-10,121,3,38,2021,B,C,0.5
17,Remo,43, PA,38,11,10,17,31,42,-11,93,7,37,2021,B,C,0.5
18,Vitória,40, BA,38,8,16,14,31,32,-1,92,8,35,2021,B,B,0.7
19,Confiança,37, SE,38,9,10,19,35,48,-13,104,8,32,2021,B,B,0.7
20,Brasil,23, RS,38,4,11,23,23,52,-29,103,8,20,2021,B,B,0.7
1,Palmeiras,81, SP,38,23,12,3,66,27,39,85,6,71,2022,A,A,1.0
2,Internacional,73, RS,38,20,13,5,58,31,27,94,5,64,2022,A,A,1.0
3,Fluminense,70, RJ,38,21,7,10,63,41,22,85,11,61,2022,A,A,1.0
4,Corinthians,65, SP,38,18,11,9,44,36,8,84,6,57,2022,A,A,1.0
5,Flamengo,62, RJ,38,18,8,12,60,39,21,84,4,54,2022,A,A,1.0
6,Athletico Paranaense,58, PR,38,16,10,12,48,48,0,95,4,50,2022,A,A,1.0
7,Atlético Mineiro,58, MG,38,15,13,10,45,37,8,93,3,50,2022,A,A,1.0
8,Fortaleza,55, CE,38,15,10,13,46,39,7,88,8,48,2022,A,A,1.0
9,São Paulo,54, SP,38,13,15,10,55,42,13,102,9,47,2022,A,A,1.0
10,América Fc,53, MG,38,15,8,15,40,40,0,88,5,46,2022,A,B,0.7
11,Botafogo,53, RJ,38,15,8,15,41,43,-2,98,6,46,2022,A,B,0.7
12,Santos,47, SP,38,12,11,15,44,41,3,102,7,41,2022,A,A,1.0
13,Goiás,46, GO,38,11,13,14,40,53,-13,117,8,40,2022,A,B,0.7
14,Red Bull Bragantino,44, SP,38,11,11,16,49,59,-10,93,7,38,2022,A,A,1.0
15,Coritiba,42, PR,38,12,6,20,39,60,-21,113,12,36,2022,A,B,0.7
16,Cuiabá,41, MT,38,10,11,17,31,42,-11,82,11,35,2022,A,A,1.0
17,Ceará,37, CE,38,7,16,15,34,41,-7,127,10,32,2022,A,A,1.0
18,Atlético,36, GO,38,8,12,18,39,57,-18,104,9,31,2022,A,A,1.0
19,Avaí,35, SC,38,9,8,21,34,60,-26,102,4,30,2022,A,B,0.7
20,Juventude,22, RS,38,3,13,22,29,69,-40,112,8,19,2022,A,A,1.0
1,Cruzeiro,78, MG,38,23,9,6,57,26,31,80,12,68,2022,B,B,0.7
2,Grêmio,65, RS,38,17,14,7,50,26,24,73,3,57,2022,B,A,1.0
3,Bahia,62, BA,38,17,11,10,43,29,14,77,8,54,2022,B,A,1.0
4,Vasco da Gama,62, RJ,38,17,11,10,48,36,12,35,3,54,2022,B,B,0.7
5,Sampaio Corrêa,58, MA,38,16,10,12,48,42,6,75,3,50,2022,B,B,0.7
6,Ituano,57, SP,38,15,12,11,42,34,8,95,6,50,2022,B,C,0.5
7,Sport,57, PE,38,15,12,11,37,31,6,86,11,50,2022,B,A,1.0
8,Criciúma,56, SC,38,14,14,10,43,31,12,86,3,49,2022,B,C,0.5
9,Londrina,53, PR,38,14,11,13,36,37,-1,76,8,46,2022,B,B,0.7
10,Guarani,51, SP,38,13,12,13,33,36,-3,100,4,44,2022,B,B,0.7
11,Crb,50, AL,38,13,11,14,35,43,-8,102,7,43,2022,B,B,0.7
12,Ponte Preta,49, SP,38,12,13,13,34,36,-2,124,8,42,2022,B,B,0.7
13,Vila Nova,47, GO,38,9,20,9,28,31,-3,85,5,41,2022,B,B,0.7
14,Chapecoense,45, SC,38,11,12,15,37,39,-2,100,6,39,2022,B,A,1.0
15,Tombense,45, MG,38,10,15,13,38,47,-9,85,1,39,2022,B,C,0.5
16,Novorizontino,44, SP,38,11,11,16,44,49,-5,108,5,38,2022,B,C,0.5
17,Csa,42, AL,38,9,15,14,29,37,-8,88,8,36,2022,B,B,0.7
18,Brusque,34, SC,38,8,10,20,21,38,-17,88,7,29,2022,B,B,0.7
19,Operário,34, PR,38,7,13,18,31,53,-22,81,6,29,2022,B,B,0.7
20,Náutico,30, PE,38,8,6,24,32,65,-33,101,10,26,2022,B,B,0.7
1,Botafogo,21, RJ,8,7,0,1,16,6,10,20,2,87,2023,A,A,1.0
2,Palmeiras,16, SP,8,4,4,0,17,7,10,27,1,66,2023,A,A,1.0
3,São Paulo,15, SP,8,4,3,1,14,7,7,22,2,62,2023,A,A,1.0
4,Atlético Mineiro,14, MG,8,4,2,2,12,7,5,29,1,58,2023,A,A,1.0
5,Grêmio,14, RS,8,4,2,2,12,11,1,26,1,58,2023,A,B,0.7
6,Cruzeiro,13, MG,8,4,1,3,12,7,5,22,1,54,2023,A,B,0.7
7,Flamengo,13, RJ,8,4,1,3,14,10,4,20,0,54,2023,A,A,1.0
8,Fluminense,13, RJ,8,4,1,3,12,8,4,27,2,54,2023,A,A,1.0
9,Fortaleza,13, CE,8,3,4,1,12,6,6,17,1,54,2023,A,A,1.0
10,Red Bull Bragantino,13, SP,8,3,4,1,13,11,2,26,2,54,2023,A,A,1.0
11,Athletico Paranaense,12, PR,8,4,0,4,11,11,0,24,1,50,2023,A,A,1.0
12,Santos,11, SP,8,3,2,3,8,7,1,22,2,45,2023,A,A,1.0
13,Internacional,10, RS,8,3,1,4,7,11,-4,21,0,41,2023,A,A,1.0
14,Corinthians,8, SP,8,2,2,4,8,12,-4,21,0,33,2023,A,A,1.0
15,Cuiabá,8, MT,8,2,2,4,7,13,-6,26,2,33,2023,A,A,1.0
16,Bahia,7, BA,8,2,1,5,9,14,-5,19,2,29,2023,A,B,0.7
17,Goiás,7, GO,8,2,1,5,7,15,-8,27,2,29,2023,A,A,1.0
18,Vasco da Gama,6, RJ,8,1,3,4,8,13,-5,24,1,25,2023,A,B,0.7
19,América Fc,4, MG,8,1,1,6,7,20,-13,28,1,16,2023,A,A,1.0
20,Coritiba,3, PR,8,0,3,5,7,17,-10,29,1,12,2023,A,A,1.0
1,Vitória,19, BA,9,6,1,2,17,6,11,17,0,70,2023,B,C,0.5
2,Novorizontino,17, SP,9,5,2,2,12,4,8,27,4,62,2023,B,B,0.7
3,Vila Nova,17, GO,8,5,2,1,11,3,8,23,0,70,2023,B,B,0.7
4,Criciúma,17, SC,9,5,2,2,10,6,4,24,3,62,2023,B,B,0.7
5,Mirassol,16, SP,9,5,1,3,9,6,3,25,1,59,2023,B,C,0.5
6,Botafogo,16, SP,9,5,1,3,9,11,-2,17,1,59,2023,B,A,1.0
7,Atlético,16, GO,9,4,4,1,14,13,1,20,2,59,2023,B,A,1.0
8,Guarani,15, SP,9,4,3,2,15,9,6,29,0,55,2023,B,B,0.7
9,Sport,14, PE,7,4,2,1,13,5,8,9,1,66,2023,B,B,0.7
10,Ceará,13, CE,9,4,1,4,9,13,-4,30,1,48,2023,B,A,1.0
11,Juventude,12, RS,9,4,0,5,10,8,2,28,1,44,2023,B,A,1.0
12,Sampaio Corrêa,12, MA,9,3,3,3,8,10,-2,26,2,44,2023,B,B,0.7
13,Ituano,10, SP,9,3,1,5,10,11,-1,27,1,37,2023,B,B,0.7
14,Londrina,10, PR,9,3,1,5,10,14,-4,20,0,37,2023,B,B,0.7
15,Ponte Preta,10, SP,9,2,4,3,6,10,-4,34,4,37,2023,B,B,0.7
16,Chapecoense,9, SC,9,2,3,4,13,12,1,34,0,33,2023,B,B,0.7
17,Avaí,8, SC,9,2,2,5,5,15,-10,31,4,29,2023,B,A,1.0
18,Tombense,5, MG,9,1,2,6,7,13,-6,23,2,18,2023,B,B,0.7
19,Crb,5, AL,8,1,2,5,4,11,-7,24,3,20,2023,B,B,0.7
20,Abc,4, RN,9,1,1,7,5,17,-12,22,1,14,2023,B,C,0.5
